id,main_speaker,main_speaker_description
3424,Rose M. Mutiso,Rose M. Mutiso is a Kenyan activist and materials scientist.
3425,Roselinde Torres,
3426,Rosie King,Rosie King (born c.
3427,Ross Lovegrove,"Ross Lovegrove (born 1958 in Cardiff, Wales) is a Welsh artist and industrial designer."
3428,Rowan Fitzpatrick and Heart of Mind,
3429,Roxane Gay,"Roxane Gay (born October 15, 1974) is an American writer, professor, editor, and social commentator."
3430,Roy Bahat and Bryn Freedman,
3431,Roy Gould + Curtis Wong,"Selena Quintanilla-Pérez (April 16, 1971 – March 31, 1995) was an American singer, songwriter, spokesperson, businesswoman, model, actress, and fashion designer."
3432,Roz Savage,
3433,Ruby Sales,"Ruby Nell Sales (born July 8, 1948 in Jemison, Alabama) is an African-American social justice activist, scholar, and public theologian."
3434,Ruby Wax,"Ruby Wax  (née Wachs; born 19 April 1953) is an American-British actress, comedian, writer, mental health campaigner, and lecturer."
3435,Ruchi Shah,"Mumbai Cutting is a 2008 Indian anthology film comprising eleven short films, telling eleven different stories based on life in Mumbai, which are directed by a host of eleven directors: Anurag Kashyap, Sudhir Mishra, Rahul Dholakia, Kundan Shah, Revathy, Jahnu Barua, Rituparno Ghosh, Shashanka Ghosh, Ruchi Narain, Ayush Raina and Manish Jha."
3436,Rufus Griscom + Alisa Volkman,"Babble was an online magazine and blog network targeting young, educated, urban parents."
3437,Rufus Wainwright,"Rufus McGarrigle Wainwright (born July 22, 1973) is an American-Canadian singer, songwriter, and composer."
3438,Rumaitha Al Busaidi,"Rumaitha Al Busaidi is an Omani climate change activist, women's rights activist, radio presenter, marine scientist, entrepreneur and footballer."
3439,Rupal Patel,Rupal Patel (born 1 January 1975) is an Indian actress best known for portraying Kokila Modi in Saath Nibhaana Saathiya —one of the longest-running Indian TV soaps—and Meenakshi Rajvansh in Yeh Rishtey Hain Pyaar Ke.
3440,Rusha Modi,"Antanas Paškevičius – Poška (24 March [O.S. 10 March] 1903 – 16 October 1992) was a prominent Lithuanian traveler and anthropologist, as well as an active member of the Esperanto movement in Lithuania."
3441,Russ Altman,"Russ Biagio Altman is an American professor of bioengineering, genetics, medicine, and biomedical data science (and of computer science, by courtesy) and past chairman of the bioengineering department at Stanford University."
3442,Russell Foster,"Russell Grant Foster, CBE, FRS FMedSci (born 1959) is a British professor of circadian neuroscience, the Director of the Nuffield Laboratory of Ophthalmology and the Head of the Sleep and Circadian Neuroscience Institute (SCNi)."
3443,Russell Wilson,"Russell Carrington Wilson (born November 29, 1988) is an American football quarterback for the Seattle Seahawks of the National Football League (NFL)."
3444,Rutger Bregman,
3445,Ruth Chang,"Ruth Chang is the Professor and Chair of Jurisprudence at the University of Oxford, a Professorial Fellow of University College, Oxford, and an American professor of philosophy."
3446,Ryan Gravel,"The Atlanta BeltLine (also Beltline or Belt Line) is a former railway corridor around the core of Atlanta, Georgia, under development in stages as a multi-use trail."
3447,Ryan Holladay,"Mark Lavon ""Levon"" Helm (May 26, 1940 – April 19, 2012) was an American musician and actor who achieved fame as the drummer and one of the vocalists for the Band."
3448,Ryan Lobo,Lobo is a fictional character that appears in comic books published by DC Comics.
3449,Ryan Martin,"Ryan Martin (born February 26, 1993) is an American professional boxer."
3450,Ryan Merkley,
3451,Ryan Pfluger,"August Lee Pfluger II ( FLOOG-ər; born December 28, 1978) is an American politician and retired military officer from the state of Texas."
3452,Rébecca Kleinberger,
3453,Sabine Doebel,"In economic science, the tragedy of the commons is a situation in which individual users, who have open access to a resource unhampered by shared social structures or formal rules that govern access and use, act independently according to their own self-interest and, contrary to the common good of all users, cause depletion of the resource through their uncoordinated action."
3454,Sadasivan Shankar,
3455,Safeena Husain,"Safeena Husain is a social worker and founder of Educate Girls – a non-profit organisation that is headquartered in Mumbai, India."
3456,Safia Elhillo,"Safia Elhillo (Arabic: صافية الحلو‎) (born December 16, 1990) is a Sudanese-American poet known for her written and spoken poetry."
3457,Safwat Saleem,Fathi Safwat Kirdar (1896–1966) was an Iraqi painter and sculptor.
3458,Sahaj Kaur Kohli,"This is a list of notable people from Delhi, India."
3459,Sahil Sethi,Sarabhai vs Sarabhai is an Indian sitcom created and produced by  Jamnadas Majethia and Aatish Kapadia.It features a quintessential upper-class family in Mumbai.
3460,Sajan Saini,"Sajan Re Phir Jhoot Mat Bolo (SRPJMB) (English: Do not lie again, honey) is an Indian sitcom which was broadcast on SAB TV from 23 May 2017 to 14 September 2018."
3461,Sajay Samuel,
3462,Sakena Yacoobi,Sakena Yacoobi (Persian: سکینه یعقوبی‎) is an Afghani activist known for her work for promoting access to education for women and children.
3463,Saki Mafundikwa,"The McDonald's African American Heritage Series is a cassette tape released in 1991 by McDonald's, featuring prominent African-Americans performing readings/songs involving African-American history."
3464,Sakinah Hofler,
3465,Sal Khan,"Salman ""Sal"" Khan (born October 11, 1976) is an educator and the founder of Khan Academy, a free online education platform and an organization with which he has produced over 6,500 video lessons teaching a wide spectrum of academic subjects, originally focusing on mathematics and sciences."
3466,Salil Dudani,This is a list of Bollywood films that were released in 2014.
3467,Sally Kohn,"Sally Rebecca Kohn (born March 27, 1977) is an American liberal political commentator, community organizer, and founder and chief executive officer of the Movement Vision Lab, a grassroots think tank that focuses on liberal and progressive ideas and positions."
3468,Salvatore Iaconesi,"Angel_F is a fictional child artificial intelligence that has been used in art performances worldwide focused on the issues of digital liberties, intellectual property and on the evolution of language and behaviour in information society."
3469,Sam Berns,
3470,Sam Harris,"Samuel Benjamin Harris (born April 9, 1967) is an American author, philosopher, neuroscientist, and podcast host."
3471,Sam Kass,"Samuel David Kass (born 1980) is an American political advisor, chef, and news personality, who served as President Barack Obama's Senior Policy Advisor for Nutrition Policy, Executive Director for First Lady Michelle Obama's Let's Move!"
3472,Sam Kean,Sam Kean is an American writer.
3473,Sam Martin,"Samuel Denison Martin (born February 7, 1983) is an American Grammy Award-winning musician, singer, songwriter and record producer."
3474,Sam Richards,"Samuel Martell Richards (born September 3, 1960) is a sociologist working at the Pennsylvania State University."
3475,Sam Rodriques,"Neil Nitin Mukesh (born 15 January 1982) is an Indian actor, who appears in Hindi-language films."
3476,Sam Van Aken,A Tree of 40 Fruit is one of a series of fruit trees created by the Syracuse University Professor Sam Van Aken using the technique of grafting.
3477,Samantha Agoos,"One South Broad, also known as the Lincoln-Liberty Building or PNB Building, is a 28-story 472-foot (144 m) office tower in Center City, Philadelphia, Pennsylvania, United States."
3478,Samantha Nutt,Samantha Joan Nutt  (born October 1969) is a Canadian physician and philanthropist who is the founder and executive director of War Child Canada.
3479,Samantha Power,"Samantha Jane Power (born September 21, 1970) is an American academic, diplomat and government official who is currently serving as the Administrator of the United States Agency for International Development."
3480,Samuel Cohen,"Samuel ""Mouli"" Cohen (born April 8, 1958) is an Israeli-American entrepreneur, venture capitalist, and convicted fraudster who claimed to have held the positions of president, chairman, and CEO of several public and private video game companies which, according to Cohen, ""have generated over $3 Billion in shareholder value""."
3481,Samy Nour Younes,"Jeunesse Sportive Madinet de Béjaïa (Arabic: الشبيبة الرياضية لمدينة بجاية‎), known as JSM Béjaïa or simply JSMB for short, is an Algerian football club based in Béjaïa."
3482,Sana Amanat,Sana Amanat is an American comic book editor.
3483,Sandeep Jauhar,Heart: A History is a 2018 book by Sandeep Jauhar.
3484,Sandi Toksvig,"Sandra Birgitte Toksvig  (; Danish: [ˈsænti ˈtsʰʌksˌviˀ]; born 3 May 1958) is a British-Danish writer, comedian, broadcaster, actor, podcaster, TV presenter and producer on British radio, stage, and television."
3485,Sandra Aamodt,"Redshirting is the practice of postponing entrance into kindergarten of age-eligible children in order to allow extra time for socioemotional, intellectual, or physical growth."
3486,Sandra Fisher-Martins,"The Beverly Hillbillies is an American sitcom that aired on CBS from September 26, 1962 to March 23, 1971."
3487,Sandra Rey,"Elizabeth Woolridge Grant (born June 21, 1985), known professionally as Lana Del Rey, is an American singer-songwriter."
3488,Sandrine Thuret,Randan is a commune in the Puy-de-Dôme department in Auvergne-Rhône-Alpes in central France.
3489,Sanford Biggers,"Sanford Biggers (born 1970 in Los Angeles) is a Harlem-based interdisciplinary artist who works in film/video, installation, sculpture, music, and performance."
3490,Sangeeta Bhatia,"Sangeeta N. Bhatia, M.D., Ph.D. (b."
3491,Sangu Delle,"The Upper West Region of Ghana is located in the north-western corner of Ghana and is bordered by Upper East region to the east, Northern region to the south, and Burkina Faso to the west and north."
3492,Sanjay Dastoor,"Boosted (formerly Boosted Boards) was an American manufacturer of electric skateboards and electric scooters based in Mountain View, California."
3493,Sanjay Pradhan,Dharmendra Pradhan (born 26 June 1969) is the Cabinet Minister for Petroleum & Natural Gas and Steel in the Government of India.
3494,Sara C. Mednick,"Sara C. Mednick is a sleep researcher at the University of California, Riverside."
3495,Sara DeWitt,"Rosemarie Braddock DeWitt (born October 26, 1971) is an American actress."
3496,Sara Garofalo,"Girlfriends' Guide to Divorce (also known as Girlfriends' Guide to Freedom in season 3, Girlfriends' Guide to Bossing Up in season 4, and Girlfriends' Guide to Ever After in season 5) is an American comedy-drama television series developed by Marti Noxon for the American cable network Bravo."
3497,Sara Jones,"Midnight Rider, also known as Midnight Rider: The Gregg Allman Story, is an unfinished American biographical drama film."
3498,Sara Lewis,
3499,Sara Menker,Sara Menker is an Entrepreneur and the CEO of Gro Intelligence.
3500,Sara Ramirez,"Sara Elena Ramírez (Spanish: [ˈsaɾa eˈlena raˈmiɾes]; born August 31, 1975) is a Mexican American actor, singer, and songwriter, and activist."
3501,Sara Sanford,"Caitlin Marie Lotz (born December 30, 1986) is an American actress, dancer and singer."
3502,Sara Seager,
3503,Sara Valencia Botto,"This is a list of dramatic television series (including web television and miniseries) that premiered in the 2010s which feature lesbian, gay, bisexual, and transgender characters."
3504,Sara-Jane Dunn,"Sara Beth Bareilles (, bə-RELL-iss; born December 7, 1979) is an American singer-songwriter, actress, author, and producer."
3505,Sarah Barmak,"Warren Steed Jeffs (born December 3, 1955) is the president of the Fundamentalist Church of Jesus Christ of Latter-Day Saints (FLDS Church), a polygamous denomination."
3506,Sarah Bergbreiter,"Sarah Bergbreiter is a professor of Mechanical Engineering at Carnegie Mellon University, previously a professor at the University of Maryland."
3507,Sarah Brosnan,Sarah Brosnan is a researcher studying the development of cognitive processes that underlie cooperation and reciprocity.
3508,Sarah Cairns-Smith,"Richard Ash Kingsford (1821–1902) was an alderman and mayor of Brisbane Municipal Council, a Member of the Legislative Assembly of Queensland, Australia, and a mayor of Cairns, Queensland."
3509,Sarah Corbett,"Sarah Corbett is a speaker, professional activist, author and the founder of Craftivist Collective, a social enterprise which uses the technique of craftivism - combining craft and activism  - to engage people in social justice issues ""in a quiet, non-confrontational manner involving pretty, handcrafted gestures of defiance.""She wrote A Little Book of Craftivism which was published in 2013, and How To Be A Craftivist, published in 2017."
3510,Sarah Donnelly,"The following is a list of characters that first appeared in the New Zealand soap opera Shortland Street in 1992, by order of first appearance."
3511,Sarah Dudas,"A bank walkaway is a decision by a mortgage lender (a bank) to not foreclose on a defaulted mortgage (when the borrower has ceased to make the payments), or to not complete foreclosure proceedings (to ""walk away"" from the mortgage)."
3512,Sarah Gray,"Sarah Gray Rafferty (born December 6, 1972) is an American actress."
3513,Sarah Jones,"Sarah Jones (born July 17, 1983) is an American actress who is known for playing Detective Rebecca Madsen in the Fox TV series Alcatraz and astronaut Tracy Stevens in Ronald D. Moore's alternate history space drama For All Mankind."
3514,Sarah Kaminsky,La Ch'tite famille is a 2018 French film directed and starring Dany Boon.
3515,Sarah Kay,"Sarah Kay (born June 19, 1988) is an American poet."
3516,Sarah Kessans,"The 2007 race left San Sebastián de la Gomera on Sunday 2 December 2007 with the finish in English Harbour, Antigua, on the same course as the 2005 race."
3517,Sarah Klein,Sarah Klein (born 19 April 1985) is an Australian long-distance runner.
3518,Sarah Kurnick,Tariácuri (fl.
3519,Sarah Lewis,Sarah Lewis  (born 29 November 1964 in London) is a British former alpine skier who competed in the 1988 Winter Olympics.
3520,Sarah Montana,Montana ( (listen)) is a state in the Mountain West subregion of the Western United States.
3521,Sarah Murray,
3522,Sarah Parcak,"Sarah Helen Parcak is an American archaeologist, Egyptologist, and remote sensing expert, who has used satellite imaging to identify potential archaeological sites in Egypt, Rome, and elsewhere in the former Roman Empire."
3523,Sarah Sze,Sarah Sze (; born 1969) is a contemporary artist known for sculpture and installation works that employ everyday objects to create multimedia landscapes.
3524,Sarah T. Stewart,"Sarah T. Stewart-Mukhopadhyay is an American planetary scientist known for studying planet formation, planetary geology, and materials science."
3525,Sarah Willersdorf,
3526,Sarah-Jayne Blakemore,"Sarah-Jayne Blakemore  (born 11 August 1974) is Professor of Psychology and Cognitive Neuroscience at the University of Cambridge and co-director of the Wellcome Trust PhD Programme in Neuroscience at University College London. Education: Blakemore was educated at Oxford High School and St John's College, Oxford where she graduated with a Bachelor of Arts degree in Experimental psychology in 1996."
3527,Sarthak Sinha,"The Top 25 Canadian Immigrant Awards is an annual campaign by Canadian Immigrant magazine that recognizes outstanding work by immigrants who ""have come to Canada and have made a positive difference living in the country."".Overview: First launched by Canadian Immigrant in 2009, the program takes place online and nominations are open to all Canadians."
3528,Sarvesh Subramanian,"Radhe : Your Most Wanted Bhai is a 2021 Indian Hindi-language action film directed by Prabhu Deva, produced by Salman Khan, Sohail Khan, Atul Agnihotri and Zee Studios."
3529,Sasa Vucinic,"Saša Vučinić is a Serbian journalist and is the co-founder of North Base Media VC, and co-founder and former CEO and Managing Director of the Media Development Loan Fund."
3530,Sascha Morrell,Arthur Guinness (24 September 1725 – 23 January 1803) was an Irish brewer and the founder of the Guinness brewery business and family.
3531,Sasha Dichter,"Yifat Shasha-Biton (Hebrew: יִפְעָת שָׁאשָׁא־בִּיטוֹן‎, born 23 May 1973) is an Israeli educator and politician."
3532,Saul Griffith,Saul Griffith (born 1974) is an Australian American inventor.
3533,Sauti Sol,"Sauti Sol are a Kenyan afro-pop band formed in Nairobi,  Kenya by vocalists Bien-Aimé Baraza, Willis Chimano and Savara Mudigi in 2005."
3534,Sayu Bhojwani,Sayu Bhojwani is a first generation immigrant to the United States.
3535,Scilla Elworthy,"Priscilla ""Scilla"" Elworthy (born 3 June 1943) is a peace builder, and the founder of the Oxford Research Group, a non-governmental organisation she set up in 1982 to develop effective dialogue between nuclear weapons policy-makers worldwide and their critics, for which she was nominated three times for the Nobel Peace Prize."
3536,Scott A. Mellor,"Lee Mellor, Ph.D. (born August 4, 1982 in Chester, England) is an Anglo-Canadian author, scholar, criminologist and alternative country musician distinguished by his intricate lyrics and growly vocal stylings."
3537,Scott Dinsmore,"Nicholas David Dinsmore (born December 17, 1975), also known by his World Wrestling Entertainment (WWE) ring name Eugene, is an American professional wrestler."
3538,Scott Fraser,
3539,Scott Galloway,"Scott Galloway (born November 3, 1964) is an American advertising theorist."
3540,Scott Gass,"Michelle D. Gass (Petkers) is an American businesswoman who currently serves as the CEO and Director of Kohl's Corporation, a position she has held since May 2018."
3541,Scott Kim,"Scott Kim is an American puzzle and computer game designer, artist, and author of Korean descent."
3542,Scott McCloud,"Scott McCloud (born Scott McLeod on June 10, 1960) is an American cartoonist and comics theorist."
3543,Scott Peeples,"""Eldorado"" is a poem written by Edgar Allan Poe, first published in April 1849."
3544,Scott Rickard,"Scott Rickards (born 3 November 1981 in Sutton Coldfield, England) is a professional footballer, who works as an academy coach for Derby County."
3545,Scott Summit,"Jeffrey Scot Tweedy (born August 25, 1967) is an American songwriter, musician, author, and record producer best known as the singer and guitarist of the band Wilco."
3546,Scott Szwast,"Polish singer and songwriter Margaret has recorded songs for five studio albums and one extended play (EP), and made several guest appearances on other artists' releases."
3547,Scott Williams,
3548,Sean Carroll,"Sean Michael Carroll (born October 5, 1966) is an American theoretical physicist who specializes in quantum mechanics, gravity, and cosmology."
3549,Sean Davis,"Sean Akira Davis (born February 8, 1993) is an American professional soccer player who plays as a midfielder and captains the New York Red Bulls of Major League Soccer."
3550,Sean Follmer,"XRDS, formerly Crossroads, is the flagship academic magazine for student members of the Association for Computing Machinery (ACM)."
3551,Sean Gourley,"Digital privacy is often used in contexts that promote advocacy on behalf of individual and consumer privacy rights in e-services and is typically used in opposition to the business practices of many e-marketers, businesses, and companies to collect and use such information and data."
3552,Sebastian Deterding,"Gamification is the strategic attempt to enhance systems, services, organisations, and activities in order to create similar experiences to those experienced when playing games in order to motivate and engage users."
3553,Sebastian Guo,Autumn Winds is the debut studio album by Tina Guo.
3554,Sebastian Junger,"Sebastian Junger (born January 17, 1962) is an American journalist, author and filmmaker."
3555,Sebastian Kraves,"Lamman Rucker  (born October 6, 1971) is an American actor."
3556,Sebastian Seung,"Hyunjune Sebastian Seung (English: /sung/ or [səŋ]; Korean: 승현준; Hanja: 承現峻) is an American multi-disciplinary scientist whose research efforts have spanned the fields of neuroscience, physics, computer science, bioinformatics, machine learning, deep learning, and artificial intelligence."
3557,Sebastian Thrun,"Sebastian Thrun (born May 14, 1967) is an entrepreneur, educator, and computer scientist from Germany."
3558,Sebastian Thrun and Chris Anderson,"Chris Urmson is a Canadian engineer, academic, and entrepreneur known for his work on self-driving car technology."
3559,Sebastian Wernicke,"Udacity, Inc."
3560,Sebastien de Halleux,"Playfish, currently a property of Electronic Arts, was a developer of free-to-play social network games."
3561,Sebastián Bortnik,This is a list of Jewish winners and nominees of Academy Awards.
3562,Sebastião Salgado,"Sebastião Ribeiro Salgado Júnior (born February 8, 1944) is a Brazilian social documentary photographer and photojournalist.He has traveled in over 120 countries for his photographic projects."
3563,Seema Bansal,
3564,Seena Mathew,"Karthika Mathew (born Lidiya Jacob), better known mononymously as Karthika, is a Malayalam film actress, who has appeared in several Malayalam and Tamil films."
3565,Sendhil Mullainathan,Sendhil Mullainathan (pronunciation ) (born c.
3566,Serena Williams and Gayle King,"Tony Dokoupil (born December 24, 1980) is an American broadcast journalist, known for his work as a co-anchor of CBS This Morning."
3567,Sergei Lupashin,
3568,Sergey Brin,"Sergey Mikhaylovich Brin (Russian: Серге́й Миха́йлович Брин, tr."
3569,Sergey Brin + Larry Page,"Lawrence Edward Page (born March 26, 1973) is an American business magnate, computer scientist and Internet entrepreneur."
3570,Sergio Feferovich,
3571,Seth Berkley,
3572,Seth Darling,"Seth B. Darling is the director of the Center of Molecular Engineering, a research and development program focusing on advanced materials for cleaning water, quantum information science, and polymer science."
3573,Seth Godin,Seth W. Godin is an American author and former dot com business executive.
3574,Seth Priebatsch,"South by Southwest, abbreviated as SXSW and colloquially referred to as South By, is an annual conglomeration of parallel film, interactive media, and music festivals and conferences organized jointly that take place in mid-March in Austin, Texas, United States."
3575,Seth Shostak,"Seth Shostak (born July 20, 1943) is an American astronomer and author, and is currently the senior astronomer for the SETI Institute.Shostak hosts SETI's weekly radio show/podcast Big Picture Science, has played himself numerous times in TV and internet film dramas, and has acted in several science fiction films."
3576,Sethembile Msezane,"Sethembile Msezane (born 1991 in KwaZulu-Natal) is a South African visual artist, public speaker and performer who is known for her work within fine arts."
3577,Severine Autesserre,Séverine Autesserre (born 6 December 1976) is a French-American author and researcher.
3578,Severn Cullis-Suzuki,"Severn Cullis-Suzuki (born 30 November 1979) is a Canadian environmental activist, speaker, television host, and author."
3579,Seyi Oyesola,"Seyi Oyesola is a Nigerian doctor, who co-invented ""hospital in a box"".Fed up with hospitals that were always short in supplies and prone to outages, Dr."
3580,Shabana Basij-Rasikh,"Shabana Basij-Rasikh is an Afghan educator, humanitarian, and women's rights champion."
3581,Shad Begum,"Shad Begum is a social worker from Dir Lower, Pakistan."
3582,Shadé Zahrai and Aric Yegudkin,
3583,Shaffi Mather,"Shaffi Mather (born 6 February 1970) is an Indian social entrepreneur, who  served as the Economic Advisor to the Chief Minister, Oommen Chandy,  of Kerala's Congress led, UDF Government."
3584,Shah Rukh Khan,"Shah Rukh Khan (pronounced [ˈʃaːɦrʊx xaːn]; born 2 November 1965), also known by the initialism SRK, is an Indian actor, film producer, and television personality."
3585,Shai Agassi,"Shai Agassi (Hebrew: שי אגסי‎, born April 19, 1968) is an Israeli entrepreneur."
3586,Shai Marcu,"The Stanford Sleepiness Scale (SSS), developed by William C. Dement and colleagues in 1972, is a one-item self-report questionnaire measuring levels of sleepiness throughout the day."
3587,Shai Reshef,Shai Reshef (Hebrew: שי רשף‎) is an American businessperson and academic administrator.
3588,Shaka Senghor,"Shaka Senghor is the Head of Diversity, Equality & Inclusion at TripActions, Director's Fellow Alumni of the MIT Media Lab, college lecturer, author, and was convicted of murder in American courts."
3589,Shalini Unnikrishnan,"Joseph Vissarionovich Stalin (18 December [O.S. 6 December] 1878 – 5 March 1953), born Ioseb Besarionis dzе Jughashvili, was a Georgian revolutionary and the ruler of the Soviet Union from 1927 until 1953."
3590,Shameem Akhtar,Shameem Akhtar is a Bangladeshi director and screenwriter.
3591,Shameran Abed,bKash (Bengali: বিকাশ) is a mobile financial service in Bangladesh operating under the authority of Bangladesh Bank as a subsidiary of BRAC Bank Limited.
3592,Shane Griffin,"DeShane Davis Larkin (born October 2, 1992) is an American-Turkish professional basketball player for Anadolu Efes of the Turkish Basketball Super League."
3593,Shane Koyczan,"Shane L. Koyczan (born 22 May 1976) is a Canadian spoken word poet, writer, and member of the group Tons of Fun University."
3594,Shane Wickes,John Wick: Chapter 2 (also known as simply John Wick 2) is a 2017 American neo-noir action-thriller film directed by Chad Stahelski and written by Derek Kolstad.
3595,Shannon Lee,"Shannon Emery Lee (born April 19, 1969) is an American actress, martial artist and businessperson."
3596,Shantell Martin,"Shantell Martin (born October 1, 1980) is a British visual artist best known for her large scale, black-and-white drawings."
3597,ShaoLan,"ShaoLan Hsueh (also known as Heidi Hsueh; Chinese: 薛曉嵐; pinyin: Xuē Xiǎolán) is a London-based Taiwanese author, designer, venture capitalist, tech entrepreneur, podcast host, speaker, and the creator of Chinese language learning system Chineasy."
3598,Shari Davis,"Shari Belafonte (born September 22, 1954) is an American actress, model, writer and singer."
3599,Sharmeen Obaid-Chinoy,"Sharmeen Obaid-Chinoy (Urdu: شرمین عبید چنائے‎; born 12 November 1978) is a Pakistani-Canadian journalist, filmmaker and activist known for her work in films that highlight the inequality with women."
3600,Sharon Brous,"Sharon Brous is a Los Angeles-based American rabbi, who currently serves as the senior rabbi of IKAR, a Jewish congregation in Los Angeles."
3601,Sharon Horesh Bergquist,
3602,Sharon Terry,"Sharon F. Terry (born November 16, 1956 in  Waterbury, Connecticut) is a health advocate in Washington, D.C. She co-founded PXE International when her children were diagnosed with pseudoxanthoma elasticum (PXE) in 1994."
3603,Sharon Weinberger,Sharon Weinberger is an American journalist and writer on defense and security issues.
3604,Shashi Tharoor,"Shashi Tharoor (IPA: [ʃɐʃi t̪ɐɾuːr]; born 9 March 1956) is an Indian politician, writer and former international diplomat who has been serving as Member of Parliament, Lok Sabha from Thiruvananthapuram, Kerala, since 2009."
3605,Shawn Achor,"Shawn Achor (born March 9, 1978) is an American author, and speaker known for his advocacy of positive psychology."
3606,Shawn Martinbrough,Shawn C. Martinbrough is an American comic book artist.
3607,Shawnee,
3608,Shaylin Schundler,"Bret D. Schundler (born January 14, 1959) is an American politician from New Jersey."
3609,Shea Hembrey,"Shea Hembrey (born 1974 in Hickory Grove, Arkansas) is an American conceptual artist."
3610,Sheena Iyengar,"Sheena S. Iyengar is the S.T. Lee Professor of Business in the Management Department at Columbia Business School, widely and best known as an expert on choice."
3611,Sheikha Al Mayassa,"Sheikha Al-Mayassa bint Hamad bin Khalifa Al-Thani (Arabic: المياسة بنت حمد بن خليفة آل ثاني‎; born 1983) is the sister of Qatar's ruling Emir Tamim bin Hamad Al Thani, and daughter of the country's Father Emir Hamad bin Khalifa Al Thani and former First Lady Moza bint Nasser."
3612,Sheila Marie Orfano,
3613,Sheila Nirenberg,Sheila Nirenberg is an American neuroscientist.
3614,Sheila Patek,"Cavitation is a phenomenon in which the static pressure of the liquid reduces to below the liquid's vapour pressure, leading to the formation of small vapor-filled cavities in the liquid."
3615,Shekhar Kapur,"Shekhar Kulbhushan Kapoor (born 6 December 1945)is an Indian film director, actor, and film producer, known for his works in Hindi cinema and international cinema."
3616,Shekinah Elmore,Shekinah Elmore is an assistant professor in the department of radiation oncology at the University of North Carolina School of Medicine.
3617,Sheku Kanneh-Mason and Isata Kanneh-Mason,Sheku Kanneh-Mason  (born 4 April 1999) is a British cellist who won the 2016 BBC Young Musician award.
3618,Shelley Shott,"Shelley Wellons Moore Capito ( KAP-i-toh; born November 26, 1953) is an American politician serving as the junior United States Senator for West Virginia since 2015."
3619,Sheperd Doeleman,"Sheperd ""Shep"" S. Doeleman (born 1967) is an American astrophysicist."
3620,Shereen El Feki,"Shereen El Feki (Arabic: شيرين الفقي‎; born 1967 or 1968) is a British journalist and author, most notable for her book Sex and the Citadel: Intimate Life in a Changing Arab World."
3621,Shereen El-Feki,"Shereen El Feki (Arabic: شيرين الفقي‎; born 1967 or 1968) is a British journalist and author, most notable for her book Sex and the Citadel: Intimate Life in a Changing Arab World."
3622,Sherry Turkle,"Sherry Turkle (born June 18, 1948) is the Abby Rockefeller Mauzé Professor of the Social Studies of Science and Technology at the Massachusetts Institute of Technology."
3623,Sherwin Nuland,"Sherwin Bernard Nuland (born Shepsel Ber Nudelman), December 8, 1930 – March 3, 2014, was an American surgeon and writer who taught bioethics, history of medicine, and medicine at the Yale School of Medicine, and occasionally bioethics and history of medicine at Yale College."
3624,Sheryl Sandberg,"Sheryl Kara Sandberg (born August 28, 1969) is an American business executive, billionaire and philanthropist."
3625,Sheryl WuDunn,"Sheryl WuDunn (born November 16, 1959) is an American business executive, writer, lecturer, and Pulitzer Prize winner."
3626,Shigeru Ban,"Shigeru Ban (坂 茂, Ban Shigeru, born 5 August 1957) is a Japanese architect, known for his innovative work with paper, particularly recycled cardboard tubes used to quickly and efficiently house disaster victims."
3627,Shih Chieh Huang,Aja Huang (Chinese: 黃士傑; Wade–Giles: Huang Shih-chieh; born 1978) is a Taiwanese computer scientist and expert on artificial intelligence.
3628,Shilo Shiv Suleman,Shilo Shiv Suleman (born 1989) is an Indian contemporary artist.
3629,Shilpa Ravella,
3630,Shimon Schocken,"Gideon Schocken (Also spelled Gideon Shocken; Hebrew: גדעון שוקן‎; December 28, 1919 – 1981) was a Haganah fighter, major in the British Army during World War II, and aluf (major general) in the Israel Defense Forces (IDF)."
3631,Shimon Steinberg,"Emil Adelkhanov (born Emmanuil Steinberg, 11 August 1945, Vorkuta – 27 June 2016, Tbilisi) was a Georgian human rights activist, and a representative of Amnesty International and Human Rights Watch in Georgia."
3632,Shimpei Takahashi,This is a list of notable manga artists.
3633,Shirin Neshat,"Shirin Neshat (Persian: شیرین نشاط‎; born March 26, 1957 Qazvin) is an Iranian visual artist who lives in New York City, known primarily for her work in film, video and photography."
3634,Shivani Siroya,"Shivani Siroya is the founder and Chief Executive Officer of Tala, a smartphone lending app."
3635,Shlomo Benartzi,"Shlomo Benartzi is an American behavioral economist, known for his research on retirement savings and the Save More Tomorrow nudge."
3636,Shoel Perelman,
3637,Shohini Ghose,Shohini Ghose is a multi-award-winning quantum physicist and Professor of Physics and Computer Science at Wilfrid Laurier University.
3638,Shonda Rhimes,"Shonda Lynn Rhimes (born January 13, 1970) is an American television producer, screenwriter, and author."
3639,Shonda Rhimes and Cyndi Stivers,
3640,Shrabani Basu,
3641,Shubhendu Sharma,
3642,Shukla Bose,"Shukla Bose is the founder and CEO of the Parikrma Humanity Foundation, a nonprofit organization that runs English-medium schools for under-privileged children in Bangalore, India."
3643,Shunan Teng,The following is a list of Chinese films first released in 2013.
3644,Shyam Sankar,Palantir Technologies is a public American software company that specializes in big data analytics.
3645,Siamak Hariri,"Siamak Hariri (born 1958) OAA, AAA, AIBC, FRAIC, RCA, Intl."
3646,Sian Leah Beilock,Sian L. Beilock ( SEE-ən BY-lok) is the eighth President of Barnard College.
3647,Siawn Ou,
